,,0
80,0,0.7578125
80,1,0.7578125
80,2,0.76953125
80,3,0.7578125
80,4,0.7421875
80,5,0.7421875
80,6,0.7578125
80,7,0.78125
80,8,0.76953125
80,9,0.7578125
80,10,0.78125
80,11,0.78125
80,12,0.76953125
80,13,0.76953125
80,14,0.7578125
80,15,0.76953125
80,16,0.76953125
80,17,0.7578125
80,18,0.76953125
70,0,0.76953125
70,1,0.98828125
70,2,0.98828125
70,3,0.98828125
70,4,0.98828125
70,5,0.98828125
70,6,0.98828125
70,7,0.98828125
70,8,0.98828125
70,9,0.98828125
70,10,0.98828125
70,11,0.98828125
70,12,0.98828125
70,13,0.98828125
70,14,0.98828125
70,15,0.98828125
70,16,0.98828125
70,17,0.98828125
70,18,0.98828125
70,19,0.98828125
60,0,0.98828125
60,1,0.99609375
60,2,0.99609375
60,3,0.99609375
60,4,0.99609375
60,5,0.99609375
60,6,0.9921875
60,7,0.99609375
60,8,0.99609375
60,9,0.99609375
60,10,0.99609375
60,11,0.99609375
60,12,0.99609375
60,13,0.99609375
60,14,0.99609375
60,15,0.99609375
60,16,0.9921875
60,17,0.99609375
60,18,0.99609375
60,19,0.99609375
50,0,0.99609375
50,1,0.98828125
50,2,0.98828125
50,3,0.98828125
50,4,0.98828125
50,5,0.98828125
50,6,0.98828125
50,7,0.98828125
50,8,0.98828125
50,9,0.98828125
50,10,0.98828125
50,11,0.98828125
50,12,0.98828125
50,13,0.98828125
50,14,0.98828125
50,15,0.98828125
50,16,0.98828125
50,17,0.98828125
50,18,0.98828125
50,19,0.98828125
40,0,0.98828125
40,1,0.984375
40,2,0.984375
40,3,0.984375
40,4,0.984375
40,5,0.984375
40,6,0.984375
40,7,0.984375
40,8,0.984375
40,9,0.984375
40,10,0.984375
40,11,0.984375
40,12,0.984375
40,13,0.984375
40,14,0.984375
40,15,0.984375
40,16,0.98046875
40,17,0.984375
40,18,0.984375
40,19,0.984375
30,0,0.984375
30,1,0.9765625
30,2,0.98046875
30,3,0.98046875
30,4,0.98046875
30,5,0.98046875
30,6,0.98046875
30,7,0.98046875
30,8,0.98046875
30,9,0.98046875
30,10,0.98046875
30,11,0.9765625
30,12,0.98046875
30,13,0.98046875
30,14,0.98046875
30,15,0.98046875
30,16,0.9765625
30,17,0.98046875
30,18,0.98046875
30,19,0.98046875
20,0,0.98046875
20,1,0.98046875
20,2,0.98046875
20,3,0.98046875
20,4,0.98046875
20,5,0.98046875
20,6,0.98046875
20,7,0.98046875
20,8,0.984375
20,9,0.98046875
20,10,0.98046875
20,11,0.98046875
20,12,0.98046875
20,13,0.98046875
20,14,0.98046875
20,15,0.98046875
20,16,0.98046875
20,17,0.98046875
20,18,0.98046875
20,19,0.98046875
10,0,0.98046875
10,1,0.984375
10,2,0.984375
10,3,0.98046875
10,4,0.984375
10,5,0.984375
10,6,0.984375
10,7,0.984375
10,8,0.98046875
10,9,0.98046875
10,10,0.984375
10,11,0.984375
10,12,0.984375
10,13,0.98046875
10,14,0.98046875
10,15,0.984375
10,16,0.984375
10,17,0.98046875
10,18,0.984375
10,19,0.98046875
